k_size,n,c,h,kernel,time_ms,gflops,arith_intensity,case,w,stride,group_medians_ms,source
3,2,64,64,initial,0.002990,789.062,0.899122,k3_aligned,64,2,"0.002990 / 0.002990 / 0.002990",fp32_report_20260711
3,2,64,64,skill_final,0.002366,997.167,0.899122,k3_aligned,64,2,"0.002366 / 0.002366 / 0.002368",fp32_report_20260711
5,1,32,80,initial,0.004212,607.787,2.491901,k5_common,80,2,"0.004212 / 0.004212 / 0.004212",fp32_report_20260711
5,1,32,80,skill_final,0.002924,875.513,2.491901,k5_common,80,2,"0.002923 / 0.002924 / 0.002924",fp32_report_20260711
5,1,32,80,cudnn_nchw,0.012933,197.941,2.491901,k5_common,80,2,"0.0129331",full_sweep_20260713_conv_only
7,32,128,80,initial,0.208000,3087.754,4.899043,k7_throughput,80,2,"0.208000 / 0.208000 / 0.200576",fp32_report_20260711
7,32,128,80,skill_final,0.149880,4285.113,4.899043,k7_throughput,80,2,"0.149504 / 0.149880 / 0.150016",fp32_report_20260711
7,32,128,80,cudnn_nchw,0.239296,2683.930,4.899043,k7_throughput,80,2,"0.2392960",full_sweep_20260713_conv_only
7,1,32,43,initial,0.006428,236.127,4.976081,k7_small_grid,43,2,"0.006428 / 0.006428 / 0.006428",fp32_report_20260711
7,1,32,43,skill_final,0.002775,546.964,4.976081,k7_small_grid,43,2,"0.002775 / 0.002774 / 0.002776",fp32_report_20260711
7,1,32,107,initial,0.006717,1361.408,4.956087,k7_blocks96,107,2,"0.006719 / 0.006717 / 0.006717",fp32_report_20260711
7,1,32,107,skill_final,0.004232,2160.817,4.956087,k7_blocks96,107,2,"0.004232 / 0.004232 / 0.004232",fp32_report_20260711
7,1,32,111,initial,0.006684,1471.349,4.954666,k7_blocks104,111,2,"0.006684 / 0.006684 / 0.006684",fp32_report_20260711
7,1,32,111,skill_final,0.004288,2293.493,4.954666,k7_blocks104,111,2,"0.004288 / 0.004288 / 0.004287",fp32_report_20260711
11,32,128,80,initial,0.429568,3692.014,12.094236,k11_throughput,80,2,"0.429696 / 0.413692 / 0.429568",fp32_report_20260711
11,32,128,80,skill_final,0.195200,8124.852,12.094236,k11_throughput,80,2,"0.195200 / 0.195200 / 0.195200",fp32_report_20260711
11,32,128,80,cudnn_nchw,0.432814,3664.320,12.094236,k11_throughput,80,2,"0.4328140",full_sweep_20260713_conv_only
11,4,128,80,initial,0.053680,3693.115,12.054044,k11_main,80,2,"0.053680 / 0.052589 / 0.053696",fp32_report_20260711
11,4,128,80,skill_final,0.025502,7773.759,12.054044,k11_main,80,2,"0.025504 / 0.025493 / 0.025502",fp32_report_20260711
11,4,128,64,initial,0.031952,3970.884,12.028347,k11_out32,64,2,"0.032381 / 0.031952 / 0.031472",fp32_report_20260711
11,4,128,64,skill_final,0.014208,8930.018,12.028347,k11_out32,64,2,"0.014208 / 0.014208 / 0.014222",fp32_report_20260711
11,1,32,43,initial,0.013252,282.832,11.927495,k11_tail,43,2,"0.013252 / 0.013252 / 0.013252",fp32_report_20260711
11,1,32,43,skill_final,0.005112,733.196,11.927495,k11_tail,43,2,"0.005112 / 0.005112 / 0.005112",fp32_report_20260711
11,1,32,65,initial,0.013480,777.272,12.144881,k11_rectangular,81,2,"0.013480 / 0.013480 / 0.013480",fp32_report_20260711
11,1,32,65,skill_final,0.005276,1985.904,12.144881,k11_rectangular,81,2,"0.005276 / 0.005276 / 0.005277",fp32_report_20260711
11,1,32,43,initial,0.012748,1123.208,29.283901,k11_stride1,43,1,"0.012748 / 0.012751 / 0.012748",fp32_report_20260711
11,1,32,43,skill_final,0.005260,2722.178,29.283901,k11_stride1,43,1,"0.005260 / 0.005260 / 0.005260",fp32_report_20260711
